,Sakalava (Maintirano),Betsimisaraka (Mahanoro),Antankarana (Ambilobe),Mikea (Analamena),Antankarana (Vohemar),Masikoro (Miary),Antankarana (Antalaha),Sakalava (Ambanja),Sakalava (Majunga),Merina (Antananarivo),Sakalava (Morondava),Betsimisaraka (Fenoarivo-Est),Antanosy (Tolagnaro),Antandroy (Ambovombe),Betsileo (Fianarantsoa),Vezo (Toliara),Sihanaka (Ambatondranzaka),Tsimihety (Mandritsara),Mahafaly (Ampanihy),Antambohoaka (Mananjary),Antaisaka (Vangaindrano),Antaimoro (Manakara),Zafisoro (Farafangana),Bara (Betroka)
129,ranomasy,ranomasigna,ranomasigny,ranosira,ranomasigny,riake,ranomasigny,ranomasigny,ranosira,ranomasina,ranomasy,ranomasigny,riaky,ranomasigne,ranomasina,riake,ranomasina,ranomasigny,riaky,ranomasina,ranomasy,ranomasigna,manomasy,riaky
130,mijilo,mahita,mihiry,mahita,mahitra,mahita,mahita,mahita,mijery,mahita,mahajery,mahita,mahita,mahatrea,mahita,mahita,mahita,mahita,mahisake,mahita,maita,mahita,mahita,mahita
131,masomboly,voa,ambio,voane,ambio,vihy,voany,ambeo,voa,voa,vihy,ambeko,vihy,voa,voa,voa,voa,ambe,voa,voa,doria,voa,isiny,voa
132,manjaitsy,manjetra,manjatry,mitsebeke,manjaitry,mitrebiky,manjaitry,manjaitry,mitrebiky,manjaitra,manjaitry,manjaitry,manzaisy,manjaitse,manjaitra,mitsebike,jipirina,manjaitry,mitrebeke,manjaitra,majaitry,manjaitry,manjaitry,mitreboky
133,maragnitsy,marangitra,maragnitry,,maragnitry,maragnitsy,marangitry,maragnitry,maranitra,maranitra,minaoky,maragnitry,maragnisy,masiogne,maranitra,maranitse,maranitra,marangitry,maragnitse,maranitra,maragnitry,maragnitry,maragnitry,maragnitry
134,boribory,fohy,foeky,boriborike,fohiky,boribory,fohy,fohiky,fohy,fohy,bory,fohy,bory,fohike,fohy,boribory,pota,foho,boribory,fohika,fohy,foiky,botry,bory
135,miantsa,mihira,mihira,miantsa,miantsa,mibeko,mihira,mihira,mihira,mihira,miantsa,mihira,miantsa,mibeko,mihira,mihira,mihira,mihira,miantsa,mihira,miatsa,mihira,mihira,miantsa
136,mipetraka,mipetraka,mipetraka,mipetsake,mipetraka,mipetraky,mantotry,mipaitraika,mipetraka,mipetraka,mipetraky,mantotry,mitoboky,miambesatre,mitoetse,mitoboke,mipetraka,mantotry,mitoboke,mipetraka,midoboky,midoboky,midoboky,mitoboky
137,holitry,oditra,oditry,holitse,hoditry,holitsy,hoditry,angozy,hoditra,hoditra,oditry,hoditry,holisy,holitse,hoditra,holitse,angozo,hoditry,holine,hoditra,odittry,hoditry,hoditry,hoditry
138,lagnitry,lagnitra,lagnitry,,lagnitry,lagnitsy,langitry,lagnitry,lagnitra,lanitra,lagnitry,lagnitry,lagnisy,lagnitse,lanitra,lanitse,lanitra,langitry,lagnitse,lagnitra,lagnitry,lanitry,lagnitry,lagnitry
