ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
betsileofianarantsoa-7_bad-1,,betsileofianarantsoa,7_bad,ratsy,ratsy,r a ts j,,Serva2011,,,^ r a ts y $,default
vezotoliara-7_bad-1,,vezotoliara,7_bad,raty,raty,r a t j,,Serva2011,,,^ r a t y $,default
sihanakaambatondranzaka-7_bad-1,,sihanakaambatondranzaka,7_bad,ratsy,ratsy,r a ts j,,Serva2011,,,^ r a ts y $,default
tsimihetymandritsara-7_bad-1,,tsimihetymandritsara,7_bad,ratsy,ratsy,r a ts j,,Serva2011,,,^ r a ts y $,default
mahafalyampanihy-7_bad-1,,mahafalyampanihy,7_bad,raty,raty,r a t j,,Serva2011,,,^ r a t y $,default
antambohoakamananjary-7_bad-1,,antambohoakamananjary,7_bad,ratsy,ratsy,r a ts j,,Serva2011,,,^ r a ts y $,default
antaisakavangaindrano-7_bad-1,,antaisakavangaindrano,7_bad,ratsy,ratsy,r a ts j,,Serva2011,,,^ r a ts y $,default
antaimoromanakara-7_bad-1,,antaimoromanakara,7_bad,ratsy,ratsy,r a ts j,,Serva2011,,,^ r a ts y $,default
zafisorofarafangana-7_bad-1,,zafisorofarafangana,7_bad,ratsy,ratsy,r a ts j,,Serva2011,,,^ r a ts y $,default
barabetroka-7_bad-1,,barabetroka,7_bad,ratsy,ratsy,r a ts j,,Serva2011,,,^ r a ts y $,default
sakalavamaintirano-8_barkofatree-1,,sakalavamaintirano,8_barkofatree,holi kazo,holi kazo,h o l i + k a z o,,Serva2011,,,^ h o l i + k a z o $,default
betsimisarakamahanoro-8_barkofatree-1,,betsimisarakamahanoro,8_barkofatree,oditra kakazo,oditra kakazo,o d i ʈ r a + k a k a z o,,Serva2011,,,^ o d i tr a + k a k a z o $,default
antankaranaambilobe-8_barkofatree-1,,antankaranaambilobe,8_barkofatree,oditry kakazo,oditry kakazo,o d i ʈ r j + k a k a z o,,Serva2011,,,^ o d i tr y + k a k a z o $,default
mikeaanalamena-8_barkofatree-1,,mikeaanalamena,8_barkofatree,fanin kazo,fanin kazo,f a n i n + k a z o,,Serva2011,,,^ f a n i n + k a z o $,default
